Pico L,Pico D,Aleta,Masa,Real,Humano,Maquina,Humano v2
50.5,15.2,216.0,5000.0,Gentoo,Gentoo,Gentoo,Gentoo
45.7,17.0,195.0,3650.0,Chinstrap,Chinstrap,Chinstrap,Chinstrap
39.6,18.1,186.0,4450.0,Adelie,Adelie,Adelie,Adelie
47.5,14.0,212.0,4875.0,Gentoo,Gentoo,Gentoo,Gentoo
47.7,15.0,216.0,4750.0,Gentoo,Gentoo,Gentoo,Gentoo
42.0,13.5,210.0,4150.0,Gentoo,Gentoo,Gentoo,Gentoo
51.4,19.0,201.0,3950.0,Chinstrap,Chinstrap,Chinstrap,Chinstrap
35.3,18.9,187.0,3800.0,Adelie,Adelie,Adelie,Adelie
42.2,19.5,197.0,4275.0,Adelie,Adelie,Adelie,Adelie
44.0,13.6,208.0,4350.0,Gentoo,Gentoo,Gentoo,Gentoo
54.2,20.8,201.0,4300.0,Chinstrap,Chinstrap,Chinstrap,Chinstrap
40.6,18.6,183.0,3550.0,Adelie,Adelie,Adelie,Adelie
41.5,18.3,195.0,4300.0,Adelie,Adelie,Adelie,Adelie
50.9,19.1,196.0,3550.0,Chinstrap,Chinstrap,Chinstrap,Chinstrap
43.2,16.6,187.0,2900.0,Chinstrap,Adelie,Chinstrap,Chinstrap
36.5,16.6,181.0,2850.0,Adelie,Adelie,Adelie,Adelie
46.2,17.5,187.0,3650.0,Chinstrap,Chinstrap,Chinstrap,Chinstrap
34.5,18.1,187.0,2900.0,Adelie,Adelie,Adelie,Adelie
46.9,16.6,192.0,2700.0,Chinstrap,Chinstrap,Chinstrap,Chinstrap
47.5,14.2,209.0,4600.0,Gentoo,Gentoo,Gentoo,Gentoo
50.9,17.9,196.0,3675.0,Chinstrap,Chinstrap,Chinstrap,Chinstrap
46.9,14.6,222.0,4875.0,Gentoo,Gentoo,Gentoo,Gentoo
42.9,17.6,196.0,4700.0,Adelie,Adelie,Adelie,Adelie
45.1,14.5,207.0,5050.0,Gentoo,Gentoo,Adelie,Gentoo
51.3,14.2,218.0,5300.0,Gentoo,Gentoo,Gentoo,Gentoo
36.2,17.3,187.0,3300.0,Adelie,Adelie,Adelie,Adelie
39.7,17.7,193.0,3200.0,Adelie,Adelie,Adelie,Adelie
46.0,21.5,194.0,4200.0,Adelie,Chinstrap,Chinstrap,Adelie
46.1,13.2,211.0,4500.0,Gentoo,Gentoo,Gentoo,Gentoo
45.4,18.7,188.0,3525.0,Chinstrap,Chinstrap,Chinstrap,Chinstrap
50.0,16.3,230.0,5700.0,Gentoo,Gentoo,Gentoo,Gentoo
39.2,18.6,190.0,4250.0,Adelie,Adelie,Adelie,Adelie
32.1,15.5,188.0,3050.0,Adelie,Adelie,Adelie,Adelie
42.2,18.5,180.0,3550.0,Adelie,Adelie,Adelie,Adelie
43.2,19.0,197.0,4775.0,Adelie,Adelie,Adelie,Adelie
41.8,19.4,198.0,4450.0,Adelie,Adelie,Adelie,Adelie
46.5,14.4,217.0,4900.0,Gentoo,Gentoo,Gentoo,Gentoo
52.2,17.1,228.0,5400.0,Gentoo,Gentoo,Gentoo,Gentoo
39.7,18.9,184.0,3550.0,Adelie,Adelie,Adelie,Adelie
37.0,16.5,185.0,3400.0,Adelie,Adelie,Adelie,Adelie
38.1,17.0,181.0,3175.0,Adelie,Adelie,Adelie,Adelie
46.4,15.6,221.0,5000.0,Gentoo,Gentoo,Gentoo,Gentoo
48.4,14.4,203.0,4625.0,Gentoo,Gentoo,Chinstrap,Gentoo
50.1,15.0,225.0,5000.0,Gentoo,Gentoo,Gentoo,Gentoo
45.9,17.1,190.0,3575.0,Chinstrap,Chinstrap,Chinstrap,Chinstrap
39.5,17.4,186.0,3800.0,Adelie,Adelie,Adelie,Adelie
43.8,13.9,208.0,4300.0,Gentoo,Gentoo,Gentoo,Gentoo
48.1,16.4,199.0,3325.0,Chinstrap,Chinstrap,Chinstrap,Chinstrap
48.1,15.1,209.0,5500.0,Gentoo,Gentoo,Gentoo,Gentoo
51.9,19.5,206.0,3950.0,Chinstrap,Chinstrap,Chinstrap,Chinstrap
46.2,14.5,209.0,4800.0,Gentoo,Gentoo,Gentoo,Gentoo
41.5,18.5,201.0,4000.0,Adelie,Adelie,Adelie,Adelie
52.8,20.0,205.0,4550.0,Chinstrap,Chinstrap,Chinstrap,Chinstrap
34.6,17.2,189.0,3200.0,Adelie,Adelie,Adelie,Adelie
47.2,15.5,215.0,4975.0,Gentoo,Gentoo,Gentoo,Gentoo
37.2,19.4,184.0,3900.0,Adelie,Adelie,Adelie,Adelie
36.0,18.5,186.0,3100.0,Adelie,Adelie,Adelie,Adelie
47.6,18.3,195.0,3850.0,Chinstrap,Chinstrap,Chinstrap,Chinstrap
41.1,18.2,192.0,4050.0,Adelie,Adelie,Adelie,Adelie
50.7,15.0,223.0,5550.0,Gentoo,Gentoo,Gentoo,Gentoo
35.6,17.5,191.0,3175.0,Adelie,Adelie,Adelie,Adelie
46.3,15.8,215.0,5050.0,Gentoo,Gentoo,Gentoo,Gentoo
50.5,15.9,222.0,5550.0,Gentoo,Gentoo,Gentoo,Gentoo
40.2,17.0,176.0,3450.0,Adelie,Adelie,Adelie,Adelie
45.0,15.4,220.0,5050.0,Gentoo,Gentoo,Gentoo,Gentoo
33.1,16.1,178.0,2900.0,Adelie,Adelie,Adelie,Adelie
41.6,18.0,192.0,3950.0,Adelie,Adelie,Adelie,Adelie
